size,hour
28,202504100321
24,202504100421
25,202504100521
26,202504100621
26,202504100721
27,202504100821
30,202504100921
33,202504101021
38,202504101121
44,202504101221
48,202504101321
49,202504101421
51,202504101521
49,202504101621
48,202504101721
46,202504101821
45,202504101921
44,202504102021
41,202504102121
39,202504102221
36,202504102321
34,202504110021
34,202504110121
31,202504110221
28,202504110321
24,202504110421
11,202504110521
25,202504110621
26,202504110721
27,202504110821
29,202504110921
34,202504111021
39,202504111121
44,202504111221
48,202504111321
50,202504111421
12,202504111521
48,202504111621
47,202504111721
45,202504111821
44,202504111921
42,202504112021
40,202504112121
37,202504112221
35,202504112321
35,202504120021
33,202504120121
29,202504120221
26,202504120321
23,202504120421
23,202504120521
24,202504120621
24,202504120721
24,202504120821
25,202504120921
28,202504121021
33,202504121121
37,202504121221
40,202504121321
43,202504121421
44,202504121521
42,202504121621
40,202504121721
38,202504121821
37,202504121921
36,202504122021
35,202504122121
32,202504122221
31,202504122321
31,202504130021
29,202504130121
27,202504130221
24,202504130321
22,202504130421
21,202504130521
22,202504130621
23,202504130721
24,202504130821
24,202504130921
26,202504131021
30,202504131121
35,202504131221
39,202504131321
43,202504131421
43,202504131521
41,202504131621
40,202504131721
39,202504131821
38,202504131921
36,202504132021
36,202504132121
34,202504132221
33,202504132321
31,202504140021
29,202504140121
27,202504140221
25,202504140321
22,202504140421
23,202504140521
23,202504140621
24,202504140721
25,202504140821
27,202504140921
31,202504141021
35,202504141121
40,202504141221
44,202504141321
47,202504141421
47,202504141521
34,202504141621
47,202504141721
45,202504141821
43,202504141921
43,202504142021
40,202504142121
37,202504142221
36,202504142321
34,202504150021
33,202504150121
29,202504150221
24,202504150421
25,202504150521
24,202504150621
25,202504150721
25,202504150821
5.0,202504150921
32,202504151021
37,202504151121
42,202504151221
46,202504151321
48,202504151421
48,202504151521
47,202504151621
45,202504151721
43,202504151821
43,202504151921
44,202504152021
40,202504152121
38,202504152221
35,202504152321
34,202504160021
35,202504160121
16,202504160221
27,202504160321
24,202504160421
25,202504160521
25,202504160621
25,202504160721
26,202504160821
29,202504160921
32,202504161021
38,202504161121
44,202504161221
47,202504161321
50,202504161421
49,202504161521
48,202504161621
47,202504161721
46,202504161821
46,202504161921
44,202504162021
42,202504162121
39,202504162221
37,202504162321
37,202504170021
35,202504170121
30,202504170221
29,202504170321
25,202504170421
25,202504170521
25,202504170621
25,202504170721
26,202504170821
28,202504170921
32,202504171021
38,202504171121
43,202504171221
48,202504171321
50,202504171421
48,202504171521
47,202504171621
45,202504171721
43,202504171821
42,202504171921
44,202504172021
41,202504172121
39,202504172221
38,202504172321
35,202504180021
35,202504180121
31,202504180221
27,202504180321
23,202504180421
24,202504180521
24,202504180621
24,202504180721
26,202504180821
27,202504180921
31,202504181021
36,202504181121
41,202504181221
45,202504181321
48,202504181421
47,202504181521
46,202504181621
43,202504181721
42,202504181821
41,202504181921
39,202504182021
37,202504182121
35,202504182221
34,202504182321
33,202504190021
31,202504190121
28,202504190221
25,202504190321
23,202504190421
22,202504190521
23,202504190621
24,202504190721
24,202504190821
24,202504190921
27,202504191021
31,202504191121
35,202504191221
39,202504191321
41,202504191421
41,202504191521
40,202504191621
39,202504191721
37,202504191821
36,202504191921
35,202504192021
35,202504192121
34,202504192221
32,202504192321
31,202504200021
30,202504200121
28,202504200221
25,202504200321
22,202504200421
21,202504200521
22,202504200621
22,202504200721
23,202504200821
24,202504200921
26,202504201021
30,202504201121
34,202504201221
38,202504201321
41,202504201421
41,202504201521
40,202504201621
39,202504201721
37,202504201821
36,202504201921
35,202504202021
34,202504202121
32,202504202221
32,202504202321
31,202504210021
29,202504210121
29,202504210221
25,202504210321
21,202504210421
20,202504210521
21,202504210621
24,202504210721
28,202504210821
28,202504210921
30,202504211021
34,202504211121
39,202504211221
43,202504211321
46,202504211421
46,202504211521
44,202504211621
44,202504211721
43,202504211821
42,202504211921
41,202504212021
39,202504212121
36,202504212221
34,202504212321
33,202504220021
32,202504220121
30,202504220221
26,202504220321
23,202504220421
23,202504220521
23,202504220621
23,202504220721
24,202504220821
27,202504220921
31,202504221021
36,202504221121
41,202504221221
44,202504221321
47,202504221421
48,202504221521
46,202504221621
44,202504221721
43,202504221821
42,202504221921
42,202504222021
40,202504222121
39,202504222221
37,202504222321
36,202504230021
33,202504230121
30,202504230221
28,202504230321
24,202504230421
24,202504230521
24,202504230621
24,202504230721
25,202504230821
28,202504230921
32,202504231021
37,202504231121
41,202504231221
46,202504231321
47,202504231421
47,202504231521
46,202504231621
44,202504231721
43,202504231821
44,202504231921
42,202504232021
40,202504232121
37,202504232221
35,202504232321
35,202504240021
33,202504240121
30,202504240221
28,202504240321
26,202504240421
25,202504240521
24,202504240621
25,202504240721
25,202504240821
27,202504240921
32,202504241021
36,202504241121
41,202504241221
49,202504241321
49,202504241421
47,202504241521
47,202504241621
43,202504241721
42,202504241821
41,202504241921
40,202504242021
38,202504242121
21,202504242221
2.8,202504242321
36,202504250021
35,202504250121
31,202504250221
28,202504250321
23,202504250421
24,202504250521
24,202504250621
25,202504250721
25,202504250821
27,202504250921
34,202504251021
36,202504251121
44,202504251221
46,202504251321
47,202504251421
47,202504251521
49,202504251621
45,202504251721
42,202504251821
42,202504251921
40,202504252021
39,202504252121
35,202504252221
34,202504252321
32,202504260021
33,202504260121
30,202504260221
26,202504260321
24,202504260421
22,202504260521
23,202504260621
24,202504260721
24,202504260821
25,202504260921
27,202504261021
31,202504261121
36,202504261221
39,202504261321
41,202504261421
42,202504261521
40,202504261621
39,202504261721
38,202504261821
36,202504261921
35,202504262021
34,202504262121
32,202504262221
30,202504262321
30,202504270021
29,202504270121
27,202504270221
19,202504270321
22,202504270421
20,202504270521
21,202504270621
22,202504270721
22,202504270821
23,202504270921
26,202504271021
30,202504271121
34,202504271221
38,202504271321
41,202504271421
42,202504271521
41,202504271621
40,202504271721
38,202504271821
37,202504271921
35,202504272021
34,202504272121
32,202504272221
31,202504272321
29,202504280021
13,202504280121
26,202504280221
25,202504280321
23,202504280421
23,202504280521
23,202504280621
23,202504280721
24,202504280821
26,202504280921
31,202504281021
35,202504281121
40,202504281221
42,202504281321
45,202504281421
45,202504281521
43,202504281621
43,202504281721
41,202504281821
42,202504281921
41,202504282021
29,202504282121
34,202504282321
34,202504300021
33,202504300121
30,202504300221
27,202504300321
15,202504300421
25,202504300521
25,202504300621
24,202504300721
26,202504300821
34,202504290021
34,202504290121
34,202504290221
29,202504290321
26,202504290421
26,202504290521
25,202504290721
26,202504290821
24,202504290921
16,202504291021
30,202504291121
44,202504291221
47,202504291321
49,202504291421
48,202504291521
46,202504291621
